title,cast,director,overview,runtime,userRating
One Fine Day,Michelle Pfeiffer|George Clooney|Mae Whitman|Alex D. Linz|Charles Durning,Michael Hoffman,Melanie Parker an architect and mother of Sammy and Jack Taylor a newspaper columnist and father of Maggie are both divorced. They meet one morning when overwhelmed Jack is left unexpectedly with Maggie and forgets that Melanie was to take her to school. As a result both children miss their school field trip and are stuck with the parents. The two adults project their negative stereotypes of ex-spouses on each other but end up needing to rely on each other to watch the children as each must save his job. Humor is added by Sammy's propensity for lodging objects in his nose and Maggie's tendency to wander.,108,5.7
Blue Jasmine,Cate Blanchett|Alec Baldwin|Sally Hawkins|Bobby Cannavale|Louis C.K.,Woody Allen,Jasmine French used to be on the top of the heap as a New York socialite but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored she tries to recover in her present. Unfortunately it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so her old pretensions and new deceits begin to foul up everyone's lives especially her own.,98,6.9
The Book of Life,Diego Luna|Channing Tatum|Zoe Saldana|Christina Applegate|Eugenio Derbez,Jorge R. Gutierrez,The journey of Manolo a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.,95,7.3
Scream 4,David Arquette|Neve Campbell|Courteney Cox|Emma Roberts|Hayden Panettiere,Wes Craven,Sidney Prescott now the author of a self-help book returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale who are now married as well as her cousin Jill and her Aunt Kate. Unfortunately Sidney's appearance also brings about the return of Ghostface putting Sidney Gale and Dewey along with Jill her friends and the whole town of Woodsboro in danger.,111,6
Insidious,Patrick Wilson|Rose Byrne|Barbara Hershey|Leigh Whannell|Angus Sampson,James Wan,A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help they learn things are a lot more personal than they thought.,103,6.7
Enemy at the Gates,Jude Law|Rachel Weisz|Ed Harris|Joseph Fiennes|Bob Hoskins,Jean-Jacques Annaud,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,131,7.1
Star Trek VI: The Undiscovered Country,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,Nicholas Meyer,On the eve of retirement Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.,113,6.6
Jarhead,Jamie Foxx|Jake Gyllenhaal|Scott MacDonald|Lucas Black|Peter Sarsgaard,Sam Mendes,Jarhead is a film about a US Marine Anthony SwoffordÌ¢‰âÂ‰ã¢s experience in the Gulf War. After putting up with an arduous boot camp Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.,125,6.4
Star Trek II: The Wrath of Khan,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,Nicholas Meyer,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,113,7
The Jewel of the Nile,Michael Douglas|Kathleen Turner|Danny DeVito|Spiros FocÌÄåÁs|Avner Eisenberg,Lewis Teague,Joan Wilder is thrust back into a world of murder chases foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East ostensibly to write a book about his life. Of course he's up to no good and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.,106,6.1
8MM,Nicolas Cage|Joaquin Phoenix|James Gandolfini|Chris Bauer|Anthony Heald,Joel Schumacher,A small seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession he drifts farther and farther away from his wife family and simple life as a small-town PI.,123,6
Calendar Girls,Helen Mirren|Julie Walters|John Alderton|Linda Bassett|Annette Crosbie,Nigel Cole,2003 fact-based comedy with Helen Mirren and Julie Walters. Members of a Yorkshire branch of the Women's Institute cause controversy when they pose nude for a charity calendar.,108,6.5
13 Going On 30,Jennifer Garner|Mark Ruffalo|Judy Greer|Andy Serkis|Kathy Baker,Gary Winick,After total humiliation at her thirteenth birthday party Jenna Rink wants to just hide until she's thirty. With a little magic her wish is granted but it turns out that being thirty isn't as always as awesome as she thought it would be!,98,6.1
Vicky Cristina Barcelona,Scarlett Johansson|Rebecca Hall|Javier Bardem|PenÌÄå©lope Cruz|Christopher Evan Welch,Woody Allen,Two girlfriends on a summer holiday in Spain become enamored with the same painter unaware that his ex-wife with whom he has a tempestuous relationship is about to re-enter the picture.,96,6.7
Paycheck,Ben Affleck|Aaron Eckhart|Uma Thurman|Paul Giamatti|Colm Feore,John Woo,Michael Jennings is a genius who's hired Ì¢‰âÂ‰ÛÏ and paid handsomely Ì¢‰âÂ‰ÛÏ by high-tech firms to work on highly sensitive projects after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid Ì¢‰âÂ‰ÛÏ and why he's now in hot water.,119,5.7
Kick-Ass,Aaron Taylor-Johnson|ChloÌÄåÇ Grace Moretz|Christopher Mintz-Plasse|Nicolas Cage|Mark Strong,Matthew Vaughn,Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero even though he has no powers training or meaningful reason to do so.,117,7
The Manchurian Candidate,Denzel Washington|Meryl Streep|Liev Schreiber|Jon Voight|Kimberly Elise,Jonathan Demme,When his army unit was ambushed during the first Gulf War Sergeant Raymond Shaw saved his fellow soldiers just as his commanding officer then-Captain Ben Marco was knocked unconscious. Brokering the incident for political capital Shaw eventually becomes a vice-presidential nominee while Marco is haunted by dreams of what happened -- or didn't happen -- in Kuwait. As Marco (now a Major) investigates the story begins to unravel to the point where he questions if it happened at all. Is it possible the entire unit was kidnapped and brainwashed to believe Shaw is a war hero as part of a plot to seize the White House? Some very powerful people at Manchurian Global corporation appear desperate to stop him from finding out.,129,6.1
The 6th Day,Arnold Schwarzenegger|Michael Rapaport|Tony Goldwyn|Michael Rooker|Sarah Wynter,Roger Spottiswoode,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,123,5.5
Think Like a Man,Michael Ealy|Jerry Ferrara|Meagan Good|Regina Hall|Kevin Hart,Tim Story,Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them.,123,6.6
The Butterfly Effect,Ashton Kutcher|Amy Smart|William Lee Scott|Elden Henson|Melora Walters,Eric Bress|J. Mackye Gruber,A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past to occupy his childhood body and change history. However he soon finds that every change he makes has unexpected consequences.,113,7.1
The Rite,Anthony Hopkins|Colin O'Donoghue|Alice Braga|Toby Jones|CiarÌÄåÁn Hinds,Mikael HÌÄå´fstrÌÄå¦m,Seminary student Michael Kovak (Colin O'Donoghue) reluctantly attends exorcism school at the Vatican. While heÌ¢‰âÂ‰ã¢s in Rome Michael meets an unorthodox priest Father Lucas (Anthony Hopkins) who introduces him to the darker side of his faith uncovering the devilÌ¢‰âÂ‰ã¢s reach even to one of the holiest places on Earth.,114,5.7
Steel Magnolias,Sally Field|Dolly Parton|Shirley MacLaine|Julia Roberts|Daryl Hannah,Herbert Ross,This heart wrenching drama is about a beauty shop in Louisana owned by Truvy and the tragedies of all of her clients.,119,6.9
My Sister's Keeper,Cameron Diaz|Alec Baldwin|Abigail Breslin|Joan Cusack|Sofia Vassilieva,Nick Cassavetes,Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.,109,7
Underworld,Kate Beckinsale|Scott Speedman|Michael Sheen|Shane Brolly|Bill Nighy,Len Wiseman,Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene who's famous for her strength and werewolf-hunting prowess becomes smitten with a peace-loving male werewolf Michael who wants to end the war.,121,6.5
Shooter,Mark Wahlberg|Michael PeÌÄå±a|Danny Glover|Kate Mara|Elias Koteas,Antoine Fuqua,A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt he goes on the run to track the real killer and find out who exactly set him up and why.,124,6.9
Norbit,Eddie Murphy|Thandie Newton|Terry Crews|Clifton Powell|Lester Speight,Brian Robbins,A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams and schemes to find a way to be with her.,101,5.3
TMNT,Chris Evans|Sarah Michelle Gellar|Mako|Kevin Smith|Patrick Stewart,Kevin Munroe,The continued adventures of the four adolescent mutated turtles gifted in the art of the ninja as they attempt to stop a mysterious evil that threatens to end the world,90,6
Arthur,Dudley Moore|Liza Minnelli|John Gielgud|Geraldine Fitzgerald|Jill Eikenberry,Steve Gordon,Arthur is the most quotable drunk millionaire that is likely to ever steal your heart. Dudley Moore portrays Arthur a thirty year old child who will inherit 750 million dollars if he complies with his family's demands and marries the woman of their choosing.,97,6.4
Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,Legendary filmmaker Sam Raimi and director Gil Kenan reimagine and contemporize the classic tale about a family whose suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter the family must come together to rescue her.,93,5
Dolphin Tale,Morgan Freeman|Ashley Judd|Harry Connick Jr.|Nathan Gamble|Kris Kristofferson,Charles Martin Smith,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,113,6.6
Be Cool,John Travolta|Uma Thurman|Vince Vaughn|Cedric the Entertainer|AndrÌÄå© Benjamin,F. Gary Gray,Disenchanted with the movie industry Chili Palmer (John Travolta) tries the music industry meeting and romancing a widow of a music exec (Uma Thurman) on the way.,118,5.3
The Princess Diaries 2: Royal Engagement,Anne Hathaway|Julie Andrews|HÌÄå©ctor Elizondo|John Rhys-Davies|Heather Matarazzo,Garry Marshall,Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle archery and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...,113,5.9
42,Chadwick Boseman|T.R. Knight|Harrison Ford|Nicole Beharie|Christopher Meloni,Brian Helgeland,The powerful story of Jackie Robinson the legendary baseball player who broke Major League BaseballÌ¢‰âÂ‰ã¢s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative DodgersÌ¢‰âÂ‰ã¢ general manager Branch Rickey the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.,128,6.8
Captain Phillips,Tom Hanks|Catherine Keener|Max Martini|Chris Mulkey|Yul Vazquez,Paul Greengrass,The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama the first American cargo ship to be hijacked in two hundred years.,134,7.7
Changing Lanes,Ben Affleck|Samuel L. Jackson|Kim Staunton|Toni Collette|Sydney Pollack,Roger Michell,A rush-hour fender-bender on New York City's crowded FDR Drive under most circumstances wouldn't set off a chain reaction that could decimate two people's lives. But on this day at this time a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different but their goals ultimately will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.,89,5.7
Green Zone,Matt Damon|Greg Kinnear|Brendan Gleeson|Amy Ryan|Jason Isaacs,Paul Greengrass,During the U.S.-led occupation of Baghdad in 2003 Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.,115,6.3
The Wedding Planner,Jennifer Lopez|Matthew McConaughey|Justin Chambers|Joanna Gleason|Lou Myers,Adam Shankman,Mary Fiore San Francisco's premiere wedding planner is rescued from an accident by the man of her dreams pediatrician Steve Edison only to find he is the fiancÌÄå© of her latest client wealthy Fran Donnolly. As Mary continues making the wedding arrangements she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.,103,5.4
1408,John Cusack|Samuel L. Jackson|Mary McCormack|Jasmine Jessica Anthony|Tony Shalhoub,Mikael HÌÄå´fstrÌÄå¦m,A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in he confronts genuine terror.,104,6.4
The Crow,Brandon Lee|Rochelle Davis|Ernie Hudson|Michael Wincott|Bai Ling,Alex Proyas,Exactly one year after young rock guitarist Eric Draven and his fiancÌÄå©e are brutally killed by a ruthless gang of criminals Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.,102,7.2
Syriana,George Clooney|Matt Damon|Jeffrey Wright|Chris Cooper|Amanda Peet,Stephen Gaghan,The Middle Eastern oil industry is the backdrop of this tense drama which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies while Bryan Woodman a Switzerland-based energy analyst experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.,128,6
Speed Racer,Emile Hirsch|Christina Ricci|Matthew Fox|Susan Sarandon|Scott Porter,Lana Wachowski|Lilly Wachowski,Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.,135,5.6
Forces of Nature,Sandra Bullock|Ben Affleck|Maura Tierney|Steve Zahn|Blythe Danner,Bronwen Hughes,Ben Holmes a professional book-jacket blurbologist is trying to get to Savannah for his wedding. He just barely catches the last plane but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.,105,5.2
In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,In the winter of 1820 the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman MelvilleÌ¢‰âÂ‰ã¢s Moby Dick.ÌâåÊ But that told only half the story.ÌâåÊ Ì¢‰âÂÒHeart of the SeaÌ¢‰âÂ reveals the encounterÌ¢‰âÂ‰ã¢s harrowing aftermath as the shipÌ¢‰âÂ‰ã¢s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.ÌâåÊ Braving storms starvation panic and despair the men will call into question their deepest beliefs from the value of their lives to the morality of their trade as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.,122,6.4
Racing Stripes,Frankie Muniz|Mandy Moore|Hayden Panettiere|Bruce Greenwood|Wendie Malick,Frederik Du Chau,Shattered illusions are hard to repair -- especially for a good-hearted zebra named Stripes who's spent his life on a Kentucky farm amidst the sorely mistaken notion that he's a debonair thoroughbred. Once he faces the fact that his stark stripes mark him as different he decides he'll race anyway. And with help from the young girl who raised him he just might end up in the winner's circle.,102,5.1
Bicentennial Man,Robin Williams|Sam Neill|Embeth Davidtz|Oliver Platt|Kiersten Warren,Chris Columbus,"Richard Martin buys a gift a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought the Martin family soon discovers they don't have an ordinary robot.",131,6.7
The Lovely Bones,Rachel Weisz|Mark Wahlberg|Susan Sarandon|Saoirse Ronan|Stanley Tucci,Peter Jackson,After being brutally murdered 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives she must balance her thirst for revenge with her desire for her family to heal.,136,6.6
Cats & Dogs,Jeff Goldblum|Elizabeth Perkins|Alexander Pollock|Miriam Margolyes|Tobey Maguire,Lawrence Guterman,When a professor develops a vaccine that eliminates human allergies to dogs he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction led by Mr. Tinkles squares off against wide-eyed puppy Lou and his canine cohorts.,87,5
Two Weeks Notice,Sandra Bullock|Hugh Grant|Alicia Witt|Dana Ivey|Robert Klein,Marc Lawrence,Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end she grows jealous of June and has second thoughts about leaving George.,101,5.8
Nanny McPhee and the Big Bang,Emma Thompson|Ralph Fiennes|Maggie Gyllenhaal|Maggie Smith|Rhys Ifans,Susanna White,Nanny McPhee appears at the door of a harried young mother Mrs. Isabel Green who is trying to run the family farm while her husband is away at war. But once sheÌ¢‰âÂ‰ã¢s arrived Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant Nanny uses her magic to teach her mischievous charges five new lessons.,109,6
Michael Clayton,George Clooney|Tom Wilkinson|Tilda Swinton|Sydney Pollack|Michael O'Keefe,Tony Gilroy,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,119,6.3
Flashdance,Jennifer Beals|Michael Nouri|Lilia Skala|Kyle T. Heffner|Sunny Johnson,Adrian Lyne,The popular 1980Ì¢‰âÂ‰ã¢s dance movie that depicts the life of an exotic dancer with a side job as a welder who true desire is to get into ballet school. ItÌ¢‰âÂ‰ã¢s her dream to be a professional dancer and now is her chance. The film has a great soundtrack with an Oscar winning song.,95,6.1
Secret Window,Johnny Depp|John Turturro|Timothy Hutton|Charles S. Dutton|Len Cariou,David Koepp,Mort Rainey a writer just emerging from a painful divorce with his ex-wife is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence he begins to question his own sanity.,96,6.3
When Harry Met Sally...,Meg Ryan|Billy Crystal|Carrie Fisher|Bruno Kirby|Steven Ford,Rob Reiner,During their travels from Chicago to New York Harry and Sally Will debate whether or not sex ruins a perfect relationship between a man and a woman. Eleven years and later they're still no closer to finding the answer.,96,7.1
No Reservations,Catherine Zeta-Jones|Aaron Eckhart|Abigail Breslin|Patricia Clarkson|Jenny Wade,Scott Hicks,Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry Kate needs to look outside the kitchen to find true happiness.,104,6
Role Models,Seann William Scott|Paul Rudd|Elizabeth Banks|Christopher Mintz-Plasse|Bobb'e J. Thompson,David Wain,Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids however jail doesn't look half bad.,99,6.3
Four Brothers,Mark Wahlberg|Tyrese Gibson|AndrÌÄå© Benjamin|Garrett Hedlund|Terrence Howard,John Singleton,Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,109,6.6
Old Dogs,Robin Williams|John Travolta|Seth Green|Justin Long|Matt Dillon,Walt Becker,Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins now seven and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle meet the kids' expectations and still land the account?,88,5.2
The Skeleton Key,Kate Hudson|Gena Rowlands|Peter Sarsgaard|John Hurt|Joy Bryant,Iain Softley,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,104,6.3
Behind Enemy Lines,Owen Wilson|Gene Hackman|Gabriel Macht|Charles Malik Whitfield|David Keith,John Moore,While flying a routine reconnaissance mission over Bosnia fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines where he must outrun an army led by a ruthless Serbian general. With time running out and a deadly tracker on his trail Burnett's commanding officer decides to risk his career and launch a renegade rescue mission to save his life.,106,5.9
Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,"Billy ""The Great"" Hope the reigning junior middleweight boxing champion has an impressive career a loving wife and daughter and a lavish lifestyle. However when tragedy strikes Billy hits rock bottom losing his family his house and his manager. He soon finds an unlikely savior in Tick Willis a former fighter who trains the city's toughest amateur boxers. With his future on the line Hope fights to reclaim the trust of those he loves the most.",123,7.3
I Love You Man,Paul Rudd|Rashida Jones|Jason Segel|Sarah Burns|Jaime Pressly,John Hamburg,"Peter Klaven is a successful real estate agent who upon getting engaged to the woman of his dreams Zooey discovers to his dismay and chagrin that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation embarking on a series of bizarre and awkward ""man-dates"" before meeting Sydney Fife.",105,6.4
Friday the 13th,Derek Mears|Jared Padalecki|Danielle Panabaker|Amanda Righetti|Travis Van Winkle,Marcus Nispel,Ignoring the warnings of the locals a group of teenage camp counselors takes on the job of reopening Camp Crystal Lake Ì¢‰âÂ‰Û on Friday the 13th no less and raise the ire of Jason Voorhees a masked homicidal maniac.,97,5.6
Underworld: Rise of the Lycans,Bill Nighy|Michael Sheen|Rhona Mitra|Shane Brolly|Steven Mackintosh,Patrick Tatopoulos,A prequel to the first two Underworld films this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love Sonja courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people Lucian faces off against the Death Dealer army in a bid for Lycan independence.,92,6.2
Back to School,Rodney Dangerfield|Keith Gordon|William Zabka|Burt Young|Robert Downey Jr.,Alan Metter,Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students Thornton struggles to gain his son's respect giving way to hilarious antics.,96,6.6
White Noise,Michael Keaton|Chandra West|Deborah Kara Unger|Ian McNeice|Keegan Connor Tracy,Geoffrey Sax,An architect's desire to speak with his wife from beyond the grave using EVP (Electronic Voice Phenomenon) becomes an obsession with supernatural repercussions.,101,5.5
The Haunting,Liam Neeson|Catherine Zeta-Jones|Owen Wilson|Lili Taylor|Bruce Dern,Jan de Bont,Dr. David Marrow invites Nell Vance and Theo and Luke Sanderson to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself Ì¢‰âÂ‰ÛÏ and they soon see the true nature of its horror.,113,5.3
Save the Last Dance,Julia Stiles|Sean Patrick Thomas|Kerry Washington|Fredro Starr|Terry Kinney,Thomas Carter,A white midwestern girl moves to Chicago where her new boyfriend is a black teen from the South Side with a rough semi-criminal past.,112,6.4
Romeo Must Die,Jet Li|Aaliyah|Isaiah Washington|Russell Wong|DMX,Andrzej Bartkowiak,Two warring gang families (one African-American the other Chinese) maneuver for bragging rights to the Oakland California docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead Ì¢‰âÂå_ or worse!,115,5.8
Fantasia 2000,Steve Martin|Quincy Jones|Bette Midler|James Earl Jones|Penn Jillette,Paul Brizzi|Hendel Butoy|Francis Glebas|Eric Goldberg|Don Hahn|Pixote Hunt|James Algar|GaÌÄåÇtan Brizzi,An update of the original film with new interpretations of great works of classical music.,74,6.9
Drag Me to Hell,Alison Lohman|Justin Long|Lorna Raver|Dileep Rao|David Paymer,Sam Raimi,After denying a woman the extension she needs to keep her home loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.,99,6.1
The Karate Kid,Ralph Macchio|Pat Morita|William Zabka|Martin Kove|Chad McQueen,John G. Avildsen,Hassled by the school bullies Daniel LaRusso has his share of adolescent woes. Luckily his apartment building houses a resident martial arts master: Kesuke Miyagi who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence skill and wisdom Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.,126,6.7
White Men Can't Jump,Wesley Snipes|Woody Harrelson|Rosie Perez|Tyra Ferrell|Cylk Cozart,Ron Shelton,Billy Hoyle (Woody Harrelson) and Sidney Deane (Wesley Snipes) are an unlikely pair of basketball hustlers. They team up to con their way across the courts of Los Angeles playing a game that's fast dangerous - and funny.,115,6.2
Galaxy Quest,Tim Allen|Sigourney Weaver|Alan Rickman|Tony Shalhoub|Sam Rockwell,Dean Parisot,"Decades after the success of the sci-fi series ""Galaxy Quest"" the show's washed-up stars -- Jason Nesmith Gwen DeMarco and Alexander Dane -- are unwittingly recruited by actual aliens to pull off an intergalactic rescue mission.",102,6.6
Anchorman: The Legend of Ron Burgundy,Will Ferrell|Christina Applegate|Paul Rudd|David Koechner|Steve Carell,Adam McKay,It's the 1970s and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.,94,6.7
The Mortal Instruments: City of Bones,Lily Collins|Jamie Campbell Bower|Kevin Zegers|Jemima West|Robert Sheehan,Harald Zwart,In New York City Clary Fray a seemingly ordinary teenager learns that she is descended from a line of Shadowhunters Ì¢‰âÂ‰Û half-angel warriors who protect humanity from evil forces. After her mother disappears Clary joins forces with a group of Shadowhunters and enters Downworld an alternate realm filled with demons vampires and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.,130,6.2
Madea Goes to Jail,Tyler Perry|Derek Luke|Keshia Knight Pulliam|Ion Overman|SofÌÄå_a Vergara,Tyler Perry,At long last Madea returns to the big screen in TYLER PERRY'S MADEA GOES TO JAIL. This time America's favorite irreverent pistol-packin' grandmomma is raising hell behind bars and lobbying for her freedom...Hallelujer!,103,6.9
Hairspray,John Travolta|Michelle Pfeiffer|Christopher Walken|Amanda Bynes|James Marsden,Adam Shankman,Pleasantly plump teenager Tracy Turnblad and her best friend Penny Pingleton audition to be on The Corny Collins Show Ì¢‰âÂ‰ÛÏ and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy it turns to chaos.,117,6.4
Bring It On,Kirsten Dunst|Jesse Bradford|Huntley Ritter|Eliza Dushku|Gabrielle Union,Peyton Reed,The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit spunk sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.,98,5.7
Final Destination 2,Ali Larter|A.J. Cook|Michael Landes|Tony Todd|Keegan Connor Tracy,David R. Ellis,When Kimberly has a violent premonition of a highway pileup she blocks the freeway keeping a few others meant to die safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.,90,5.9
Trading Places,Eddie Murphy|Dan Aykroyd|Jamie Lee Curtis|Denholm Elliott|Ralph Bellamy,John Landis,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,116,6.9
